Datetime,Vc_5mm_cm/hr,Vc_15mm_cm/hr,Vc_25mm_cm/hr,TreeID
10/15/2024 13:30,5.192978158,12.90928178,11.65813522,R1111
10/15/2024 14:00,5.213435308,13.06136744,11.87667083,R1111
10/15/2024 14:30,4.765577442,12.28856213,11.30589341,R1111
10/15/2024 15:00,4.340322407,11.65455897,10.59506882,R1111
10/15/2024 15:30,3.854317625,10.95711485,9.955922712,R1111
10/15/2024 16:00,3.31878385,10.0158665,9.032799032,R1111
10/15/2024 16:30,2.442378071,8.811188788,7.929384221,R1111
10/15/2024 17:00,1.620191858,7.238864408,6.57001146,R1111
10/15/2024 17:30,0.954532822,5.700403941,5.272749713,R1111
10/15/2024 18:00,0.068393563,4.534993275,4.319424692,R1111
10/15/2024 18:30,-0.283937789,3.627206508,3.640975059,R1111
10/15/2024 19:00,-0.437906979,3.425351452,3.444862989,R1111
10/15/2024 19:30,-0.292825899,3.661955313,3.67937111,R1111
10/15/2024 20:00,-0.158619341,3.727804281,3.758818078,R1111
10/15/2024 20:30,-0.105142502,3.759555556,3.81209492,R1111
10/15/2024 21:00,-0.016728117,3.819965353,3.878442813,R1111
10/15/2024 21:30,0.08972477,3.998115405,3.953059974,R1111
10/15/2024 22:00,0.176023413,4.258385385,4.138270432,R1111
10/15/2024 22:30,0.14642995,4.209341502,4.022695099,R1111
10/15/2024 23:00,0.169830288,4.098205348,4.011022641,R1111
10/15/2024 23:30,0.03298764,3.871204211,3.994256038,R1111
10/16/2024 0:00,0.021661438,3.88451692,3.998715617,R1111
10/16/2024 0:30,0.044594436,3.932374206,4.079568366,R1111
10/16/2024 1:00,0.052522691,3.928178135,4.113321811,R1111
10/16/2024 1:30,0.062231381,3.976667652,4.105020474,R1111
10/16/2024 2:00,-0.006439807,3.905876822,4.121102524,R1111
10/16/2024 2:30,0.076737106,3.928710918,4.266508156,R1111
10/16/2024 3:00,0.095317282,3.894138232,4.367828285,R1111
10/16/2024 3:30,0.107634955,3.873137417,4.307328295,R1111
10/16/2024 4:00,0.088614639,3.869656588,4.317781317,R1111
10/16/2024 4:30,0.123417857,3.893969372,4.341262246,R1111
10/16/2024 5:00,0.266640011,3.973595023,4.373074452,R1111
10/16/2024 5:30,0.368812216,4.103442699,4.501129157,R1111
10/16/2024 6:00,0.177665375,3.855958544,4.337717181,R1111
10/16/2024 6:30,0.107949835,3.626081309,4.076506602,R1111
10/16/2024 7:00,-0.23602009,3.470498822,4.040019777,R1111
10/16/2024 7:30,0.779963245,4.89341542,5.378658478,R1111
10/16/2024 8:00,2.437230554,7.604758425,7.780864717,R1111
10/16/2024 8:30,3.767064865,9.586915401,9.775609595,R1111
10/16/2024 9:00,3.983313197,9.766221434,9.894951912,R1111
10/16/2024 9:30,3.960164929,9.708461268,9.732489888,R1111
10/16/2024 10:00,4.180875315,10.20366146,10.27852647,R1111
10/16/2024 10:30,4.641230724,11.11863751,10.93392061,R1111
10/16/2024 11:00,5.052283666,11.66659864,11.37463617,R1111
10/16/2024 11:30,5.165150331,11.70415532,11.34435465,R1111
10/16/2024 12:00,5.32334328,12.00835731,11.57586227,R1111
10/16/2024 12:30,5.553539599,12.40775872,11.9952768,R1111
10/16/2024 13:00,5.510057766,12.43420426,11.96002565,R1111
10/16/2024 13:30,5.971442506,12.91934623,12.51969653,R1111
10/16/2024 14:00,5.873801924,12.98977714,12.52820011,R1111
10/16/2024 14:30,5.39985211,12.33697082,11.94501626,R1111
10/16/2024 15:00,4.538668199,11.00433274,10.68936288,R1111
10/16/2024 15:30,4.384158973,10.78674031,10.45468789,R1111
10/16/2024 16:00,3.945508932,10.02080475,9.757614198,R1111
10/16/2024 16:30,2.94289703,8.41791787,8.269269232,R1111
10/16/2024 17:00,1.943913554,6.92410292,6.913585825,R1111
10/16/2024 17:30,1.143923809,5.808447161,5.9913242,R1111
10/16/2024 18:00,0.017802399,4.315500567,4.725404731,R1111
10/16/2024 18:30,-0.231894784,3.478139879,4.051031205,R1111
10/16/2024 19:00,-0.316885338,3.314943717,3.857984224,R1111
10/16/2024 19:30,-0.104684828,3.531851938,4.1120891,R1111
10/16/2024 20:00,-0.030861627,3.682034035,4.201681128,R1111
10/16/2024 20:30,-0.09646995,3.716343813,4.269151069,R1111
10/16/2024 21:00,-0.051581561,3.861195991,4.448855481,R1111
10/16/2024 21:30,-0.065729838,3.783573332,4.450111303,R1111
10/16/2024 22:00,-0.097003058,3.864170496,4.418893753,R1111
10/16/2024 22:30,-0.123200119,3.848606109,4.380136234,R1111
10/16/2024 23:00,-0.127124384,4.118704634,4.207393907,R1111
10/16/2024 23:30,-0.2411945,4.062585024,4.043039507,R1111
10/17/2024 0:00,-0.167479051,4.068472749,3.987446404,R1111
10/17/2024 0:30,-0.566946922,2.481772058,2.560303272,R1111
10/17/2024 1:00,-0.91928621,2.309363837,2.276067096,R1111
10/17/2024 1:30,-1.164021532,1.741574629,1.840101953,R1111
10/17/2024 2:00,-1.081420607,1.859184151,2.075954969,R1111
10/17/2024 2:30,-0.814152516,1.649810793,1.835441816,R1111
10/17/2024 3:00,-0.932116311,1.771419991,1.80609608,R1111
10/17/2024 3:30,-0.906624973,1.90708204,1.924196788,R1111
10/17/2024 4:00,-0.851708356,2.064311927,1.969120987,R1111
10/17/2024 4:30,-0.708448917,2.298619741,2.151689602,R1111
10/17/2024 5:00,-0.495348,2.524135957,2.301078528,R1111
10/17/2024 5:30,-0.357134792,2.877465583,2.572379462,R1111
10/17/2024 6:00,-0.299019255,2.970561018,2.629891896,R1111
10/17/2024 6:30,-0.263947956,3.023298853,2.67605595,R1111
10/17/2024 7:00,-0.168500347,2.959427526,2.620445178,R1111
10/17/2024 7:30,0.046984264,3.557466098,3.128903692,R1111
10/17/2024 8:00,1.221417278,5.470913806,4.848031841,R1111
10/17/2024 8:30,2.347943931,7.333236568,6.763669428,R1111
10/17/2024 9:00,2.796875154,7.889429608,7.289834443,R1111
10/17/2024 9:30,2.862409907,8.132977673,7.5362982,R1111
10/17/2024 10:00,2.748260471,7.862764638,7.204253954,R1111
10/17/2024 10:30,3.042271184,8.448437427,8.069360382,R1111
10/17/2024 11:00,3.652652689,9.45134328,9.031235771,R1111
10/17/2024 11:30,3.871134944,9.791919327,9.378072582,R1111
10/17/2024 12:00,4.16602761,10.06256865,9.556357117,R1111
10/17/2024 12:30,4.170478271,10.45467142,9.729756521,R1111
10/17/2024 13:00,4.376981498,10.8712979,10.2148157,R1111
10/17/2024 13:30,4.980265782,11.92829054,11.14662098,R1111
10/17/2024 14:00,4.98212363,11.98977273,11.09031919,R1111
10/17/2024 14:30,4.721432036,11.64943216,10.75412434,R1111
10/17/2024 15:00,4.368848583,11.2231549,10.38946577,R1111
10/17/2024 15:30,3.909804712,10.48329728,9.729931583,R1111
10/17/2024 16:00,3.491059819,9.794670464,9.010435892,R1111
10/17/2024 16:30,2.813616333,8.91168005,8.159400204,R1111
10/17/2024 17:00,2.156324194,7.675556626,7.082478982,R1111
10/17/2024 17:30,1.30686328,6.353074118,5.919288609,R1111
10/17/2024 18:00,0.296408826,5.11975646,4.776119367,R1111
10/17/2024 18:30,-0.135760877,3.893754986,3.705824585,R1111
10/17/2024 19:00,-0.16254926,3.768263104,3.57328183,R1111
10/17/2024 19:30,-0.255653797,3.789890865,3.626739133,R1111
10/17/2024 20:00,-0.249537025,3.812755509,3.608598663,R1111
10/17/2024 20:30,-0.227662779,3.821519167,3.629507662,R1111
10/17/2024 21:00,-0.28851947,3.83396234,3.634766962,R1111
10/17/2024 21:30,-0.271046915,3.838250767,3.632897119,R1111
10/17/2024 22:00,-0.232338514,3.810291003,3.691591667,R1111
10/17/2024 22:30,-0.201953566,3.821184613,3.604218544,R1111
10/17/2024 23:00,-0.19480882,3.816781785,3.656269475,R1111
10/17/2024 23:30,-0.379931785,3.646860614,3.559207683,R1111
10/18/2024 0:00,-0.22365369,3.752633108,3.553663835,R1111
10/18/2024 0:30,-0.259705292,3.765843692,3.709453635,R1111
10/18/2024 1:00,-0.26615084,3.660094845,3.825844966,R1111
10/18/2024 1:30,-0.103353801,3.71156841,3.796289871,R1111
10/18/2024 2:00,-0.192986172,3.745319652,3.945971337,R1111
10/18/2024 2:30,-0.144618006,3.822984374,3.977790442,R1111
10/18/2024 3:00,-0.096577627,3.865076187,4.06248051,R1111
10/18/2024 3:30,-0.077868179,3.945701899,4.055407566,R1111
10/18/2024 4:00,-0.005328511,3.996977391,4.045436552,R1111
10/18/2024 4:30,0.251704056,4.621564034,4.70572705,R1111
10/18/2024 5:00,0.611560351,5.183113274,5.236104424,R1111
10/18/2024 5:30,0.689531775,4.910472636,4.952646225,R1111
10/18/2024 6:00,0.736238819,5.168010684,5.095350884,R1111
10/18/2024 6:30,0.791069623,5.220664981,5.148522947,R1111
10/18/2024 7:00,1.063368889,5.86737077,5.702329622,R1111
10/18/2024 7:30,6.428092161,14.30056468,13.813992,R1111
10/18/2024 8:00,6.997939924,15.26358028,14.95292388,R1111
10/18/2024 8:30,7.202410835,15.17664018,14.37451458,R1111
10/18/2024 9:00,7.919113218,16.07195471,15.31618937,R1111
10/18/2024 9:30,7.941550395,16.18373164,15.41044217,R1111
10/18/2024 10:00,6.977519921,15.12272238,14.2252042,R1111
10/18/2024 10:30,7.62572239,15.89150008,15.01338541,R1111
10/18/2024 11:00,8.951627376,17.59246739,17.01547841,R1111
